阶段,模块,子模块,状态,架构完成,实现完成,功能验收,测试基线,验收方式,备注
P0 需求与体验,需求梳理,用户角色与场景,未开始,否,否,否,角色与关键场景覆盖,评审记录,与后端接口对齐
P0 需求与体验,信息架构,页面与路由规划,未开始,否,否,否,导航与页面列表完成,评审记录,桌面与移动端一致
P0 需求与体验,数据契约,接口字段与状态映射,未开始,否,否,否,字段映射完成,评审记录,对齐后端状态机
P1 基础设施,项目骨架,前端工程与构建,未开始,否,否,否,可启动并支持热更新,集成测试,建议Vite
P1 基础设施,路由与布局,路由守卫与主布局,未开始,否,否,否,核心页面可访问,人工检查,无权限模式可用
P1 基础设施,状态管理,全局状态与缓存,未开始,否,否,否,缓存与失效策略可用,单元测试,可选轻量状态库
P1 基础设施,API客户端,请求封装与拦截,未开始,否,否,否,超时与重试可用,单元测试,包含request_id透传
P2 设计系统,视觉规范,配色与字体,未开始,否,否,否,主色与字体落地,评审记录,定义CSS变量
P2 设计系统,组件库,按钮表格弹窗,未开始,否,否,否,组件可复用,视觉检查,移动端适配
P2 设计系统,布局响应,栅格与断点,未开始,否,否,否,桌面与移动适配,人工检查,首屏布局稳定
P3 文档管理,上传,拖拽与批量上传,未开始,否,否,否,支持PDF DOCX MD TXT,手工测试,进度与失败提示
P3 文档管理,列表,筛选与状态,未开始,否,否,否,状态清晰显示,手工测试,支持分页
P3 文档管理,详情,文档元信息与版本,未开始,否,否,否,详情可追溯,手工测试,显示索引版本
P3 文档管理,结构树,树形浏览与定位,未开始,否,否,否,结构树可展开定位,集成测试,与证据联动
P4 问答工作台,查询输入,问题与参数控制,未开始,否,否,否,参数可配置,手工测试,默认值合理
P4 问答工作台,结果展示,答案与引用,未开始,否,否,否,答案与证据一致展示,手工测试,引用高亮
P4 问答工作台,过程可视,检索与融合步骤,未开始,否,否,否,阶段状态可见,人工检查,与后端状态映射
P5 证据可视化,证据列表,证据卡片与评分,未开始,否,否,否,冗余与冲突标记展示,手工测试,分数格式统一
P5 证据可视化,图谱视图,节点与边渲染,未开始,否,否,否,nodes与edges可视化,集成测试,支持缩放与拖拽
P5 证据可视化,联动高亮,结构树与证据联动,未开始,否,否,否,点击互相定位,集成测试,保持滚动位置
P6 反馈与标注,反馈表单,评分与评论,未开始,否,否,否,反馈可提交,集成测试,支持不确定标记
P6 反馈与标注,证据标注,选择证据与导出,未开始,否,否,否,可生成标注结果,人工检查,用于评测集
P6 反馈与标注,历史记录,反馈记录列表,未开始,否,否,否,历史可查询,手工测试,可筛选
P7 评测与报告,评测页面,任务触发与进度,未开始,否,否,否,评测运行可见,集成测试,单次<60s提示
P7 评测与报告,指标展示,MRR NDCG 覆盖率,未开始,否,否,否,指标可视化,手工测试,支持导出
P7 评测与报告,报告导出,JSON与CSV导出,未开始,否,否,否,报告可复现,手工测试,包含版本号
P8 性能与质量,加载体验,骨架屏与空状态,未开始,否,否,否,首屏时间≤2s,人工检查,关键路径骨架
P8 性能与质量,大列表,虚拟滚动与分页,未开始,否,否,否,滚动流畅,手工测试,长列表不卡顿
P8 性能与质量,错误处理,统一错误与重试,未开始,否,否,否,错误可恢复,单元测试,离线提示
P9 安全与运维,配置与环境,环境变量与注入,未开始,否,否,否,环境切换可用,集成测试,不暴露密钥
P9 安全与运维,日志与监控,前端埋点与告警,未开始,否,否,否,异常可追踪,人工检查,带request_id
P9 安全与运维,发布与回滚,版本管理与回滚,未开始,否,否,否,可回滚,人工检查,发布记录可追溯
