阶段,模块,子模块,状态,架构完成,实现完成,功能验收,测试基线,验收方式,备注
P0 需求与体验,需求梳理,用户角色与场景,进行中,是,否,否,角色与关键场景覆盖,评审记录,已在规划文档中定义，待与后端角色权限复核
P0 需求与体验,信息架构,页面与路由规划,完成,是,是,是,导航与页面列表完成,评审记录,"路由与导航已落地（/qa,/docs,/docs/:id,/index,/graph,/eval,/status）"
P0 需求与体验,数据契约,接口字段与状态映射,进行中,是,否,否,字段映射完成,评审记录,已按规划定义字段，当前为本地mock，未接真实API
P1 基础设施,项目骨架,前端工程与构建,完成,是,是,是,可启动并支持热更新,集成测试,Vite + React + TS 已运行，HMR正常
P1 基础设施,路由与布局,路由守卫与主布局,完成,是,是,是,核心页面可访问,人工检查,主布局+侧边导航+顶部状态栏已生效
P1 基础设施,状态管理,全局状态与缓存,完成,是,是,是,缓存与失效策略可用,单元测试,文档缓存含5分钟TTL，本地状态与会话可用
P1 基础设施,API客户端,请求封装与拦截,未开始,否,否,否,超时与重试可用,单元测试,当前为本地mock，未接入请求封装
P2 设计系统,视觉规范,配色与字体,完成,是,是,是,主色与字体落地,评审记录,已设置浅米白/深墨绿/暖橙与思源字体
P2 设计系统,组件库,按钮表格弹窗,进行中,是,否,否,组件可复用,视觉检查,已沉淀基础按钮/标签样式，复杂组件待抽象
P2 设计系统,布局响应,栅格与断点,进行中,是,否,否,桌面与移动适配,人工检查,使用自适应栅格，移动端导航未完成
P3 文档管理,上传,拖拽与批量上传,完成,是,是,是,支持PDF DOCX MD TXT,手工测试,支持拖拽/多文件选择，模拟状态流转
P3 文档管理,列表,筛选与状态,完成,是,是,是,状态清晰显示,手工测试,支持搜索与状态筛选
P3 文档管理,详情,文档元信息与版本,完成,是,是,是,详情可追溯,手工测试,详情页展示版本/状态/更新时间
P3 文档管理,结构树,树形浏览与定位,完成,是,是,是,结构树可展开定位,集成测试,结构树支持搜索与节点选择，联动证据/图谱
P4 问答工作台,查询输入,问题与参数控制,完成,是,是,是,参数可配置,手工测试,参数top_k/rerank_k/结构先验已可调
P4 问答工作台,结果展示,答案与引用,完成,是,是,是,答案与证据一致展示,手工测试,答案/证据/引用与导出按钮已展示
P4 问答工作台,过程可视,检索与融合步骤,完成,是,是,是,阶段状态可见,人工检查,阶段状态与耗时模拟可视
P5 证据可视化,证据列表,证据卡片与评分,完成,是,是,是,冗余与冲突标记展示,手工测试,支持冲突/冗余标记与评分展示
P5 证据可视化,图谱视图,节点与边渲染,完成,是,是,是,nodes与edges可视化,集成测试,SVG图谱与缩放控制已实现
P5 证据可视化,联动高亮,结构树与证据联动,完成,是,是,是,点击互相定位,集成测试,树/图谱选择联动证据筛选
P6 反馈与标注,反馈表单,评分与评论,完成,是,是,是,反馈可提交,集成测试,支持评分/评论/不确定/冲突标记
P6 反馈与标注,证据标注,选择证据与导出,完成,是,是,是,可生成标注结果,人工检查,证据可选择并计入反馈
P6 反馈与标注,历史记录,反馈记录列表,完成,是,是,是,历史可查询,手工测试,反馈历史在工作台可追溯
P7 评测与报告,评测页面,任务触发与进度,完成,是,是,是,评测运行可见,集成测试,评测任务可运行并展示阶段状态
P7 评测与报告,指标展示,MRR NDCG 覆盖率,完成,是,是,是,指标可视化,手工测试,指标卡片可视化
P7 评测与报告,报告导出,JSON与CSV导出,完成,是,是,是,报告可复现,手工测试,JSON/CSV下载已可用
P8 性能与质量,加载体验,骨架屏与空状态,进行中,是,否,否,首屏时间≤2s,人工检查,空状态已覆盖，骨架屏待补充
P8 性能与质量,大列表,虚拟滚动与分页,未开始,否,否,否,滚动流畅,手工测试,列表未接入虚拟滚动
P8 性能与质量,错误处理,统一错误与重试,未开始,否,否,否,错误可恢复,单元测试,未实现统一错误处理与重试
P9 安全与运维,配置与环境,环境变量与注入,进行中,是,否,否,环境切换可用,集成测试,客户端不落盘API Key；环境切换待接入
P9 安全与运维,日志与监控,前端埋点与告警,未开始,否,否,否,异常可追踪,人工检查,未接入埋点与告警
P9 安全与运维,发布与回滚,版本管理与回滚,未开始,否,否,否,可回滚,人工检查,前端发布策略未配置
