"方向","模块","功能/接口","现状","缺失点","影响","优先级","状态","建议/备注"
"前端缺后端","文档管理","POST /api/documents/upload","前端上传仅本地模拟（frontend/src/contexts/DocumentsContext.tsx）","未调用后端上传接口","无法真实入库与后续索引","P0","待前端接入","后端接口已就绪，支持 async_process 与任务查询"
"前端缺后端","文档管理","GET /api/documents","文档列表来自本地默认数据（frontend/src/contexts/DocumentsContext.tsx）","未拉取后端文档列表","状态与数量不一致","P0","待前端接入","返回 size_label/pages/version/tags/chunks/file_name 等字段"
"前端缺后端","文档管理","GET /api/documents/{doc_id}","详情页依赖本地数据（frontend/src/pages/DocumentDetail.tsx）","未获取后端详情统计","文档详情不可追溯","P0","待前端接入","后端返回 sections/paragraphs/chunks 统计"
"前端缺后端","文档管理","GET /api/documents/{doc_id}/tree","结构树来自本地生成（frontend/src/pages/DocumentDetail.tsx）","未获取后端结构树","结构树与真实解析不一致","P0","待前端接入","按 doc_id 拉取并渲染结构树"
"前端缺后端","索引管理","POST /api/index/build + GET /api/index/status","索引构建/状态为本地模拟（frontend/src/pages/IndexManager.tsx）","未调用后端索引接口","索引流程无法闭环","P0","待前端接入","支持 async_process，status 含 duration_ms"
"前端缺后端","问答","POST /api/qa/query","Chat/QAWorkbench 仅使用 mock（frontend/src/pages/Chat.tsx, frontend/src/pages/QAWorkbench.tsx）","未调用后端问答接口","无法产生真实答案与证据","P0","待前端接入","返回 answer_id、graph.type 与 metadata"
"前端缺后端","反馈","POST /api/feedback","反馈仅写本地历史（frontend/src/pages/QAWorkbench.tsx）","未提交后端反馈","反馈数据无法沉淀","P0","待前端接入","支持 uncertain/conflict/evidence_ids"
"前端缺后端","系统状态","GET /health + GET /ready","系统状态为 mock（frontend/src/pages/SystemStatus.tsx）","未调用健康/就绪接口","无法反映真实运行状态","P1","待前端接入","ready 返回 index_status"
"前端缺后端","问答展示","QA 响应扩展字段","前端未展示 graph/verify/fallback/coarse_sections","未消费后端扩展字段","可解释性与校验信息缺失","P1","待前端接入","补充 graph.type/metadata、verify_detail、fallback_reason"
"前端缺后端","异步任务","task_id 轮询","upload/index 的 async_process 未使用","无任务状态查询流程","异步流程不可视","P1","待前端接入","新增 /api/tasks 与 /api/tasks/{id}"
"后端缺前端","文档管理","DELETE /api/documents/{doc_id}","前端提供删除按钮（frontend/src/pages/Documents.tsx）","后端无删除接口","无法清理文档","P1","已完成","新增删除接口并清理 raw/docs/parsed/chunks 存储"
"后端缺前端","文档管理","归档/恢复接口","前端支持 ARCHIVED（frontend/src/pages/Documents.tsx）","后端无归档状态/接口","归档仅前端有效","P1","已完成","新增 /archive 与 /restore，保留 archived_from"
"后端缺前端","文档管理","状态定义扩展","前端含 ARCHIVED/ERROR，后端无对应状态（backed/app/documents/models.py）","状态机不一致","状态展示混乱","P1","已完成","DocumentStatus 补齐 ARCHIVED/ERROR"
"后端缺前端","文档管理","元数据字段补齐","前端依赖 size/pages/version/tags","后端未返回对应字段","列表信息不完整","P1","已完成","返回 size_label/pages/version/tags/chunks/file_name"
"后端缺前端","文档管理","状态推进","后端仅更新至 CHUNKED（backed/app/documents/service.py）","未更新 EMBEDDED/INDEXED/READY","流程进度不可追踪","P1","已完成","索引构建后更新 READY 并写 indexed_at"
"后端缺前端","证据字段","sourceRank/snippet/id","前端需要排名与片段展示","后端未提供字段","证据卡片信息不足","P1","已完成","evidence 增加 id/source_rank/snippet"
"后端缺前端","图谱接口","答案/会话图谱","前端有证据图谱弹窗（frontend/src/components/ui/EvidenceGraphModal.tsx）","后端无 answers/graph 资源","图谱只能 mock","P1","已完成","新增 /api/answers/{id}/graph，返回 answer_id"
"后端缺前端","图谱字段","节点元数据","前端需要 dbName/fileName/page/reason/relevance","后端未提供","图谱侧栏信息缺失","P2","已完成","graph.nodes.metadata 补齐 dbName/fileName/page/reason/relevance/nodeInfo/snippet"
"后端缺前端","反馈字段","uncertain/conflict/evidenceIds","前端收集但后端不支持（frontend/src/pages/QAWorkbench.tsx）","反馈字段不完整","标注价值受限","P1","已完成","feedback 支持 uncertain/conflict/evidence_ids"
"后端缺前端","评测","评测 API","前端评测页面为 mock（frontend/src/pages/Evaluation.tsx）","后端仅有 CLI（backed/app/eval/runner.py）","无法在线评测","P2","已完成","新增 /api/eval/run + /api/eval/report/{id} + /api/eval/reports"
"后端缺前端","任务队列","任务状态/队列列表","前端展示队列（frontend/src/pages/SystemStatus.tsx）","后端无 task 查询接口","任务不可观测","P2","已完成","新增 /api/tasks/{id} 与 /api/tasks"
"后端缺前端","配置管理","LLM 配置/连通性测试","前端设置页含测试（frontend/src/pages/Settings.tsx）","后端无 /api/llm/config|test","配置无法落地","P2","已完成","新增 /api/llm/config 与 /api/llm/test（不持久化密钥）"
"后端缺前端","索引管理","构建历史/进度","前端展示构建步骤与历史（frontend/src/pages/IndexManager.tsx）","后端无历史与进度接口","无法对齐构建过程","P2","已完成","新增 /api/index/history，meta 含 started_at/finished_at/duration_ms"
"后端缺前端","模型调参","权重调参接口","前端支持 tuning（frontend/src/components/ui/ModelConfigDialog.tsx）","后端无权重配置接口","调参功能失效","P2","已完成","新增 /api/qa/weights，持久化检索/证据权重"
