阶段,模块,子模块,状态,架构完成,实现完成,功能验收,测试基线,验收方式,备注
P0 方案与需求,总体方案,架构文档与接口草案,已完成,是,否,否,方案评审通过与范围冻结,评审记录,对应 docs/plan-architecture.md
P0 方案与需求,数据与评测,评测集与标注规范,未开始,否,否,否,至少50条问答与证据标注，覆盖事实/流程/比较/数值,人工抽检,用于检索与生成评测
P1 基础设施,项目骨架,API服务骨架与目录结构,未开始,否,否,否,服务可启动并提供/health,集成测试,FastAPI建议
P1 基础设施,配置管理,环境变量与配置加载,未开始,否,否,否,配置覆盖与校验通过,单元测试,含LLM占位配置
P1 基础设施,日志与追踪,结构化日志与请求ID,未开始,否,否,否,关键路径日志可追踪,人工检查,含request_id与关键链路耗时
P1 基础设施,任务队列,解析与索引异步任务,未开始,否,否,否,任务可重试与超时控制,集成测试,可选Celery或RQ
P2 文档处理,文档上传,文件校验与存储,未开始,否,否,否,支持PDF DOCX MD TXT上传,手工测试,返回文档ID
P2 文档处理,结构解析,章节/段落/表格提取,未开始,否,否,否,解析成功率≥95%,抽样评估,失败降级到纯文本
P2 文档处理,层次切分,chunk生成与路径标注,未开始,否,否,否,路径准确率≥90%,抽样评估,生成chunk统计与滑窗切分
P2 文档处理,结构树,可视化树数据输出,未开始,否,否,否,结构树可完整还原目录,集成测试,供前端展示
P2 文档处理,降级策略,结构缺失与超长段落处理,未开始,否,否,否,降级策略可触发且不阻断索引,集成测试,扁平切分与滑窗
P3 索引构建,稀疏索引,BM25索引构建,未开始,否,否,否,TopN召回≥0.85,离线评测,支持重建与版本
P3 索引构建,向量索引,Embedding+FAISS,未开始,否,否,否,向量召回≥0.80,离线评测,embedding模型可替换
P3 索引构建,索引版本,版本号与回滚,未开始,否,否,否,构建与回滚可用,集成测试,保障稳定性
P4 检索与重排,粗检索,章节级混合召回,未开始,否,否,否,召回@N≥0.85,离线评测,加入结构先验
P4 检索与重排,精排,段落级重排,未开始,否,否,否,NDCG@K≥0.60,离线评测,可用轻量Cross-Encoder
P5 证据融合,去冗余,相似证据合并,未开始,否,否,否,冗余率≤15%,离线评测,基于向量相似度
P5 证据融合,冲突检测,NLI或规则冲突,未开始,否,否,否,冲突率≤5%,离线评测,冲突标记输出
P5 证据融合,置信度加权,权重与排序,未开始,否,否,否,证据覆盖率≥90%,离线评测,match一致性多样性加权
P6 生成与校验,LLM网关,外部API占位,未开始,否,否,否,API连通与超时处理,接口测试,超时可回退到证据摘要
P6 生成与校验,提示模板,基于证据生成,未开始,否,否,否,答案引用覆盖≥90%,离线评测,含证据引用约束与防幻觉
P6 生成与校验,答案校验,反向检索与一致性,未开始,否,否,否,校验通过率≥85%,离线评测,失败回退策略
P6 生成与校验,回退策略,LLM超时与不可用回退,未开始,否,否,否,回退输出可用,接口测试,仅证据摘要或缓存答案
P7 API接口,问答接口,/api/qa/query,未开始,否,否,否,端到端返回答案与证据,集成测试,含graph结构
P7 API接口,文档接口,/api/documents/*,未开始,否,否,否,上传与查询成功,集成测试,支持批量导入
P7 API接口,结构树接口,/api/documents/{id}/tree,未开始,否,否,否,结构树可视化一致,集成测试,管理页使用
P7 API接口,反馈接口,/api/feedback,未开始,否,否,否,反馈入库成功,集成测试,用于RLHF数据
P7 API接口,健康检查,/health 与 /ready,未开始,否,否,否,返回系统版本与索引状态,集成测试,用于监控
P8 评测与验收,评测集,问答与证据标注,未开始,否,否,否,至少50条高质量样本，覆盖多题型,人工抽检,可扩展到100+
P8 评测与验收,指标计算,检索与生成指标,未开始,否,否,否,MRR/NDCG/覆盖率产出,自动脚本,输出报告且运行<60s
P8 评测与验收,评测报告,结果汇总与可追溯报告,未开始,否,否,否,报告可复现,人工抽检,JSON与CSV输出
P8 评测与验收,性能测试,延迟与吞吐,未开始,否,否,否,P95≤8秒,压测脚本,LLM外部因素单独标注与阶段耗时
P9 安全与运维,权限与脱敏,访问控制与日志脱敏,未开始,否,否,否,敏感信息不落盘,安全检查,毕业设计可简化
P9 安全与运维,备份与恢复,索引与文档备份,未开始,否,否,否,支持全量备份与恢复,演练记录,可选项
